Dealer Code,Dealer Name,Country,State,Enquiry Id,Enquiry Date,Companies Name,Products Name,Invoice Date,Customer ID,Calling Date,Ratings
D0001,Anne-Mital,India,Andhra Pradesh,ENQ646205,4/4/2024,TVS Motor,TVS Apache RTR 160,24-Apr,CUST2068,4/7/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ250475,5/3/2024,TVS Motor,TVS Apache RTR 160,24-May,CUST6791,5/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ801208,6/4/2024,TVS Motor,TVS Apache RTR 160,24-Jun,CUST7933,6/9/2024,3
D0001,Anne-Mital,India,Andhra Pradesh,ENQ401559,7/4/2024,TVS Motor,TVS Apache RTR 160,24-Jul,CUST2679,7/10/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ284014,8/4/2024,TVS Motor,TVS Apache RTR 160,24-Aug,CUST5147,8/10/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ408717,9/4/2024,TVS Motor,TVS Apache RTR 160,24-Sep,CUST8762,9/10/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ357932,10/1/2024,TVS Motor,TVS Apache RTR 160,24-Oct,CUST6355,10/3/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ238943,11/2/2024,TVS Motor,TVS Apache RTR 160,24-Nov,CUST5197,11/4/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ515118,12/4/2024,TVS Motor,TVS Apache RTR 160,24-Dec,CUST4431,12/9/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ247502,1/4/2025,TVS Motor,TVS Apache RTR 160,25-Jan,CUST5612,1/9/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ927616,2/3/2025,TVS Motor,TVS Apache RTR 160,25-Feb,CUST6216,2/8/2025,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ483811,3/4/2025,TVS Motor,TVS Apache RTR 160,25-Mar,CUST6755,3/7/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ351059,4/3/2024,TVS Motor,TVS Raider 125,24-Apr,CUST7733,4/8/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ671575,5/4/2024,TVS Motor,TVS Raider 125,24-May,CUST1097,5/9/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ982021,6/2/2024,TVS Motor,TVS Raider 125,24-Jun,CUST5815,6/8/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ144158,7/3/2024,TVS Motor,TVS Raider 125,24-Jul,CUST5894,7/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ708631,8/1/2024,TVS Motor,TVS Raider 125,24-Aug,CUST7597,8/6/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ995344,9/3/2024,TVS Motor,TVS Raider 125,24-Sep,CUST7378,9/5/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ396054,10/4/2024,TVS Motor,TVS Raider 125,24-Oct,CUST6292,10/7/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ603631,11/2/2024,TVS Motor,TVS Raider 125,24-Nov,CUST8462,11/6/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ109529,12/4/2024,TVS Motor,TVS Raider 125,24-Dec,CUST4917,12/6/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ831584,1/2/2025,TVS Motor,TVS Raider 125,25-Jan,CUST9282,1/6/2025,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ654683,2/1/2025,TVS Motor,TVS Raider 125,25-Feb,CUST1234,2/6/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ960283,3/2/2025,TVS Motor,TVS Raider 125,25-Mar,CUST1140,3/6/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ964020,4/1/2024,Bajaj Auto,Pulsar NS200,24-Apr,CUST3150,4/4/2024,1
D0001,Anne-Mital,India,Andhra Pradesh,ENQ612855,5/2/2024,Bajaj Auto,Pulsar NS200,24-May,CUST2787,5/8/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ664769,6/3/2024,Bajaj Auto,Pulsar NS200,24-Jun,CUST8320,6/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ442140,7/3/2024,Bajaj Auto,Pulsar NS200,24-Jul,CUST9626,7/6/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ367438,8/3/2024,Bajaj Auto,Pulsar NS200,24-Aug,CUST7422,8/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ814480,9/4/2024,Bajaj Auto,Pulsar NS200,24-Sep,CUST4167,9/9/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ258021,10/2/2024,Bajaj Auto,Pulsar NS200,24-Oct,CUST3958,10/5/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ821802,11/4/2024,Bajaj Auto,Pulsar NS200,24-Nov,CUST5920,11/10/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ880034,12/3/2024,Bajaj Auto,Pulsar NS200,24-Dec,CUST5636,12/6/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ561043,1/2/2025,Bajaj Auto,Pulsar NS200,25-Jan,CUST3388,1/5/2025,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ365809,2/2/2025,Bajaj Auto,Pulsar NS200,25-Feb,CUST7859,2/5/2025,6
D0001,Anne-Mital,India,Andhra Pradesh,ENQ714074,3/4/2025,Bajaj Auto,Pulsar NS200,25-Mar,CUST4651,3/6/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ496549,4/4/2024,Bajaj Auto,Dominar 400,24-Apr,CUST1444,4/8/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ410314,5/1/2024,Bajaj Auto,Dominar 400,24-May,CUST6796,5/3/2024,7
D0001,Anne-Mital,India,Andhra Pradesh,ENQ938971,6/2/2024,Bajaj Auto,Dominar 400,24-Jun,CUST9308,6/8/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ638163,7/2/2024,Bajaj Auto,Dominar 400,24-Jul,CUST8258,7/4/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ126318,8/1/2024,Bajaj Auto,Dominar 400,24-Aug,CUST5759,8/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ382523,9/3/2024,Bajaj Auto,Dominar 400,24-Sep,CUST4081,9/6/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ181832,10/2/2024,Bajaj Auto,Dominar 400,24-Oct,CUST9848,10/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ937061,11/1/2024,Bajaj Auto,Dominar 400,24-Nov,CUST1336,11/7/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ129193,12/2/2024,Bajaj Auto,Dominar 400,24-Dec,CUST6386,12/5/2024,3
D0001,Anne-Mital,India,Andhra Pradesh,ENQ942522,1/1/2025,Bajaj Auto,Dominar 400,25-Jan,CUST7322,1/6/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ567634,2/2/2025,Bajaj Auto,Dominar 400,25-Feb,CUST3038,2/7/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ393971,3/3/2025,Bajaj Auto,Dominar 400,25-Mar,CUST2494,3/9/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ624301,4/1/2024,Hero MotoCorp,Xtreme 160R,24-Apr,CUST1537,4/6/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ235971,5/2/2024,Hero MotoCorp,Xtreme 160R,24-May,CUST6831,5/7/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ343977,6/2/2024,Hero MotoCorp,Xtreme 160R,24-Jun,CUST4860,6/7/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ219178,7/3/2024,Hero MotoCorp,Xtreme 160R,24-Jul,CUST9701,7/5/2024,4
D0001,Anne-Mital,India,Andhra Pradesh,ENQ844418,8/1/2024,Hero MotoCorp,Xtreme 160R,24-Aug,CUST8829,8/4/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ229308,9/1/2024,Hero MotoCorp,Xtreme 160R,24-Sep,CUST2179,9/3/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ870666,10/2/2024,Hero MotoCorp,Xtreme 160R,24-Oct,CUST8988,10/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ735061,11/1/2024,Hero MotoCorp,Xtreme 160R,24-Nov,CUST1652,11/4/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ239401,12/2/2024,Hero MotoCorp,Xtreme 160R,24-Dec,CUST7658,12/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ656744,1/1/2025,Hero MotoCorp,Xtreme 160R,25-Jan,CUST1017,1/3/2025,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ314525,2/1/2025,Hero MotoCorp,Xtreme 160R,25-Feb,CUST4408,2/6/2025,4
D0001,Anne-Mital,India,Andhra Pradesh,ENQ392277,3/2/2025,Hero MotoCorp,Xtreme 160R,25-Mar,CUST1947,3/6/2025,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ541572,4/4/2024,Hero MotoCorp,XPulse 200T,24-Apr,CUST4002,4/10/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ105458,5/1/2024,Hero MotoCorp,XPulse 200T,24-May,CUST8548,5/7/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ328883,6/3/2024,Hero MotoCorp,XPulse 200T,24-Jun,CUST2822,6/5/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ693744,7/4/2024,Hero MotoCorp,XPulse 200T,24-Jul,CUST1931,7/9/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ473620,8/4/2024,Hero MotoCorp,XPulse 200T,24-Aug,CUST9932,8/7/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ894877,9/3/2024,Hero MotoCorp,XPulse 200T,24-Sep,CUST2793,9/8/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ293142,10/2/2024,Hero MotoCorp,XPulse 200T,24-Oct,CUST1314,10/6/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ300144,11/4/2024,Hero MotoCorp,XPulse 200T,24-Nov,CUST3041,11/9/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ461908,12/1/2024,Hero MotoCorp,XPulse 200T,24-Dec,CUST1362,12/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ695134,1/4/2025,Hero MotoCorp,XPulse 200T,25-Jan,CUST3265,1/8/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ867361,2/4/2025,Hero MotoCorp,XPulse 200T,25-Feb,CUST5103,2/6/2025,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ724506,3/3/2025,Hero MotoCorp,XPulse 200T,25-Mar,CUST4997,3/7/2025,3
D0001,Anne-Mital,India,Andhra Pradesh,ENQ467581,4/2/2024,Royal Enfield,Classic 350,24-Apr,CUST7138,4/6/2024,2
D0001,Anne-Mital,India,Andhra Pradesh,ENQ706441,5/1/2024,Royal Enfield,Classic 350,24-May,CUST5883,5/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ817658,6/3/2024,Royal Enfield,Classic 350,24-Jun,CUST8053,6/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ354277,7/4/2024,Royal Enfield,Classic 350,24-Jul,CUST7309,7/10/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ406490,8/4/2024,Royal Enfield,Classic 350,24-Aug,CUST4842,8/8/2024,4
D0001,Anne-Mital,India,Andhra Pradesh,ENQ426920,9/4/2024,Royal Enfield,Classic 350,24-Sep,CUST2735,9/9/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ544580,10/1/2024,Royal Enfield,Classic 350,24-Oct,CUST1615,10/5/2024,10
D0001,Anne-Mital,India,Andhra Pradesh,ENQ255053,11/1/2024,Royal Enfield,Classic 350,24-Nov,CUST8542,11/3/2024,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ664394,12/4/2024,Royal Enfield,Classic 350,24-Dec,CUST9520,12/7/2024,9
D0001,Anne-Mital,India,Andhra Pradesh,ENQ284467,1/1/2025,Royal Enfield,Classic 350,25-Jan,CUST5449,1/6/2025,8
D0001,Anne-Mital,India,Andhra Pradesh,ENQ755097,2/2/2025,Royal Enfield,Classic 350,25-Feb,CUST5364,2/7/2025,8
